Date,Time,Artist(s),Instruments/Details,Venue,Source
2025-12-19,16:30,Vid. Vidya Kalyanaraman; Vid. VV Srinivasa Rao; Vid. SJ Arjun Ganesh; Vid. Trichy Murali,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-19,18:45,Udayalur Kalyanaraman Bhagavathar,Namasankeerthanam,The Madras Sanskrit College,SAMS9032
2025-12-20,16:30,Dr. Nanditha Ravi; Vid. M.A. Krishnaswamy; Vid. N. Manoj Siva; Vid. Sathish Gowtham,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-20,18:45,Vid. Delhi P. Sundararajan; Vid. V.V. Ravi; Vid. Tiruvarur Vaidyanathan; Vid. Udupi Balakrishnan,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-21,16:30,Vid. Sruthi Sagar; Vid. VSP Gayatri Sivani; Vid. B. Ganapathyraman,Flute; Violin; Mridangam,The Madras Sanskrit College,SAMS9032
2025-12-21,18:45,Iyer Brothers (Vid. Ramnath Iyer & Vid. Gopinath Iyer); Vid. Mavelikara Balachandran; Vid. Ravi Balasubramaniam,Veena Duet; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-22,16:30,Vid. Sowmya Acharya; Vid. Sahana Sriram; Vid. Burra Sriram; Vid. Samyuktha Sreeram,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-22,18:45,Vid. Malladi Suribabu; Dr. Nishanth Chandran; Vid. Sai Raghavan; Vid. Udupi Srikanth,Vocal; Violin; Mridangam; Khanjira,The Madras Sanskrit College,SAMS9032
2025-12-23,16:30,Vid. Dharini Kalyanaraman; Vid. Shraddha Ravindran; Vid. Mumbai Rohit Prasad; Vid. Sai Bharath,Vocal; Violin; Mridangam; Khanjira,The Madras Sanskrit College,SAMS9032
2025-12-23,18:45,Mysore Vid. Manjunath & Vid. Sumanth Manjunath; Vid. Patri Sathish Kumar; Vid. Giridhar Uduppa,Violin Duet; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-24,16:30,Vid. Srirangam Venkatnagarajan; Vid. S.R. Rajashree; Vid. Vijay Ganesh; Shamit S. Gowda,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-24,18:45,Vid. B.V. Balasai & Vid. U.P. Raju; Vid. Mannargudi A. Easwaran; Dr. V. Suresh,Flute & Mandolin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-25,16:30,Vid. Vasudha Ravi & Vid. Savita Sreeram (Sant Pravah); Vid. B.V. Raghavendra Rao; Vid. V. Samyuktha; Sri M.S. Venkatasubramanian; Vid. N. Sundar,Vocal (Glory of our Saints); Violin; Harmonium; Mridangam; Tabla & Morsing,The Madras Sanskrit College,SAMS9032
2025-12-25,18:45,Vid. Rajhesh Vaidhya & Party,Veena,The Madras Sanskrit College,SAMS9032
2025-12-26,16:30,Vid. Yaso Ponnuthurai (Shakthi Strings and Beats); Vid. Padma Shankar; Vid. Lakshmi Rajasekar; Vid. Ramya Ramesh,Veena; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-26,18:45,Vid. Vittal Ramamurthy & Vid. V.V.S. Murari; Vid. Sai Niveithhan & Vid. Sai Sarangan,Violin & Viola Duet; Double Mridangam,The Madras Sanskrit College,SAMS9032
2025-12-27,16:30,Dr. Sanjay Subramanian; Vid. Gyandev Pappu; Vid. Puttur Nikshith; K. Ranganathan,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-27,18:45,Hyderabad Brothers (Vid. Raghavachari); Dr. Keerthana Shankar; Vid. Nirmal Narayan; Vid. H. Sivararamakrishnan,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-28,16:30,Vid. Krithika Natarajan; Vid. M. Vijay; Vid. B. Ganapathyraman; Vid. Sai Subramaniam,Vocal; Violin; Mridangam; Morsing,The Madras Sanskrit College,SAMS9032
2025-12-28,18:45,Dr. N.J. Nandini; Dr. Jyotsna Srikanth; Vid. Trivandrum Balaji; Vid. Paravoor Gopakumar,Vocal; Violin; Mridangam; Morsing,The Madras Sanskrit College,SAMS9032
2025-12-29,16:30,Vid. Archana & Vid. Aarathi; Vid. Madan Mohan; Vid. Aduthurai Guruprasadh; Vid. Hari Kishore,Vocal Duet; Violin; Mridangam; Khanjira,The Madras Sanskrit College,SAMS9032
2025-12-29,18:45,Vid. R.S. Jayalakshmi & Kum. Charulatha Chandrasekhar; Vid. Akshay Ananthapadmanabhan; Vid. Sumukh Karanth,Veena & Veena Support; Mridangam; Khanjira,The Madras Sanskrit College,SAMS9032
2025-12-30,16:30,Vid. Aishwarya Shankar; Vid. Sruti Sarathy; Vid. Kallidaikuruchi Sivakumar; Vid. S. Krishna,Vocal; Violin; Mridangam; Ghatam,The Madras Sanskrit College,SAMS9032
2025-12-30,18:45,Vid. R.K. Padmanabha; Vid. S.R. Mahadeva Sharma; Vid. Mannargudi A. Easwaran; Vid. Cleveland Balu,Vocal; Violin; Mridangam; Khanjira,The Madras Sanskrit College,SAMS9032
2025-12-03,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Narada Gana Sabha,SRIDEVI2511
2025-12-18,19:00,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Krishna Gana Sabha,SRIDEVI2511
2025-12-20,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Sri YGP Auditorium,SRIDEVI2511
2026-01-01,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Vani Mahal,SRIDEVI2511
2026-01-08,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Narada Gana Sabha,SRIDEVI2511
2026-01-10,19:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Bharatiya Vidya Bhavan,SRIDEVI2511
2026-01-15,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Mylapore Fine Arts,SRIDEVI2511
2026-02-01,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Kapaleeshwarar Kovil,SRIDEVI2511
2025-12-22,19:15,Sridevi Nrithyalaya,Srinivasa Kalyanam (Dance Drama),Sri YGP Auditorium,SRIDEVI2511
2026-01-05,19:30,Sridevi Nrithyalaya,Ekadasa Vishnum (Dance Drama),Music Academy,SRIDEVI2511
2025-12-29,19:30,Sridevi Nrithyalaya,Bhakthi Sanmargam (Thematic Presentation),Ethiraj Kalyana Mandapam,SRIDEVI2511
2025-12-30,19:15,Sridevi Nrithyalaya,Bhakthi Sanmargam (Thematic Presentation),Bapalal Bhavan,SRIDEVI2511
2025-12-25,,Dr Chitra Madhavan,Lec Dem Series: Talk on Temples In and Around Nagapattinam,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-25,,J B Keerthana,Vocal,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-26,,Ravi Rajagopal,Presents rare kritis of Dhikitar,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-26,,Gayathri Girish,Vocal,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-27,,Neyveli Santhanagopalan (Moderator); Dr Rajagopalan (CMANA); Dr. Suresh Vaidyanathan; Thanjavur Kumar,Peccu Kutcheri: HASSYAM IN MUSIC,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-28,,Jayachandran,Talk and demo 'Arul vilayattu': Dance of Siva through the voice of Tirumandiram,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-29,,H Ramakrishnan; Yella Venkateswara Rao; Chitravina N Ravikiran,'Flute Mali-The Genius' Listening and discussion session,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-30,,Dr Sriram Parasuram,Talk on The Kaanada Parivaara,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-31,,Madhusudhanan Kalaiselvan; Odhuvar Sadgurunathan,Talk on Tirukkovaiyar,Arkay Convention Center Mylapore,ARKAYCONVT-8X7
2025-12-19,17:30,,Inauguration Ceremony,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-19,18:00,Kalakshetra Foundation,Sita Swayamvaram (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-20,18:00,Kalakshetra Foundation,Rama Vanagamanam (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-21,18:00,Kalakshetra Foundation,Paduka Pattabhishekam (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-22,18:00,Pt. Ulhas Kashalkar,Hindustani Vocal,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-23,18:00,Smt. Pallavi Krishnan,Mohiniattam,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-23,19:30,Shri Parshwanath Upadhye and team,Abha,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-24,18:00,SIFAS Productions Ltd,Putran: The Rising Son,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-25,18:00,Ganesh Kumaresh,Violin Duet Concert,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-26,18:00,Kalakshetra Foundation,Sabari Moksham (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-27,18:00,Kalakshetra Foundation,Choodamani Pradhanam (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-28,17:30,,Closing Ceremony,Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-28,18:00,Kalakshetra Foundation,Maha Pattabhishekam (Dance Drama),Bharata Kalakshetra Auditorium,KALASHETRA
2025-12-12,11:00,Dhanya Dinesh Rudrapatnam,Vocals; Vignesh Thyagarajan (Violin); Sunaada Krishna Amai (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-12,13:00,Aditya Narayanan.S,Vocals; Sruti Sarathy (Violin); Kishore Ramesh (Mridangam); K.R. Sivaramakrishna (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-12,16:00,Sandeep Narayan,Vocals; V.V. Murari (Violin); Neyveli B. Venkatesh (Mridangam); Dr. S. Karthick (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-12,19:00,A. Lakshmanaswamy,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-13,11:00,E.R. Anirudh,Vocals; Haritha Narayanan (Violin); Burra Sriram (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-13,13:00,Shreya Devnath & Vishaal R Sapuram,Violin & Chitravina Duet Concert; Praveen Sparsh (Mridangam); K.R. Sivaramakrishna (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-13,16:00,G. Ravikiran,Vocals; B. Ananthakrishnan (Violin); B. Sivaraman (Mridangam); Trichy Krishnaswamy (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-13,19:00,Meenakshi Srinivasan,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-14,11:00,R. Sai Vignesh,Vocals; V. Bargava Vignesh (Violin); R. Akshay Ram (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-14,13:00,Anahita & Apoorva,Vocal Duet; VSP Gayatri Sivani (Violin); SJ Arjun Ganesh (Mridangam); Payyanur T. Govinda Prasad (Morsing),Krishna Gana Sabha,MAC16X21
2025-12-14,16:00,Abhishek Raghuram & J.B. Sruti Sagar,Vocals & Flute Duet Concert; Patri Satishkumar (Mridangam); B. Shree Sundar Kumar (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-14,19:00,G. Narendra,Bhaandhavyam - Ekahaarya Lasyam Solo Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-15,11:00,Veda Praveen Sandilya Machiraju,Vocals; Madurai M. Vijaya Ganesh (Violin); Ranjani Siddhanthi Venkatesh (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-15,13:00,J.B. Keerthana,Vocals; Vaibhav Ramani (Violin); Sai Raghavan (Mridangam); V. Sai Subramaniam (Morsing),Krishna Gana Sabha,MAC16X21
2025-12-15,16:00,Sampagodu S. Vighnaraja,Vocals; Dr. M. Narmadha (Violin); Mannargudi A. Easwaran (Mridangam); Alathur T. Rajaganesh (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-15,19:00,Methil Devika,Mohiniattam,Krishna Gana Sabha,MAC16X21
2025-12-16,07:00,Brahmashri Vittaldas Jayakrishna Dikshithar Maharaj,Harinamasankeerthanam & Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-16,11:00,Kamala Deepthi,Vocals; Saketha Panthula (Violin); Nanda Kashyap (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-16,13:00,Archana Rao,Vocals; Rangapriya Shankaranarayana (Violin); Aswini Srinivasan (Mridangam); Surmukh Karanath (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-16,16:00,Lalgudi GJR Krishnan & Lalgudi Vijayalakshmi,Violin Duet Concert; Dr. Trichy Sankaran (Mridangam); V. Suresh (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-16,19:00,Mythily Prakash,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-17,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-17,11:00,Sanjana Harikumar,Vocals; Shreelakshmi S. Bhat (Violin); Nikshith Puttur (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-17,13:00,Vivek Sadasivam,Vocals; Sruti Sarathy (Violin); N.C. Bharadwaj (Mridangam); H. Prasanna (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-17,16:00,N.J. Nandini,Vocals; R. Raghul (Violin); Praveen Sparsh (Mridangam); K.R. Sivaramakrishna (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-17,19:00,Purvadhanashree,Vilasini Natyam,Krishna Gana Sabha,MAC16X21
2025-12-18,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-18,11:00,Anirudh Subramanian,Vocals; Bhargav Tumkur (Violin); A. Rohith (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-18,13:00,Bangalore Brothers M.B. Hariharan & S. Ashok,Vocal Duet; Keshav Mohankumar (Violin); Tumkur Ravishankar (Mridangam); Madipakkam Murali (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-18,16:00,N. Vijay Siva,Vocals; Dr. R. Hemalatha (Violin); K.V. Prasad (Mridangam); V. Anirudh Athreya (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-18,19:00,Sheela Unnikrishnan's Sridevi Nrithyalaya,Siva Nava Bhakthi (Choreography: Dr. Sheela Unnikrishnan),Krishna Gana Sabha,MAC16X21
2025-12-19,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-19,11:00,Dr. Sudha RS Iyer & Dr. Srividhya RS Iyer,Violin Duet; Rohit Prasad (Mridangam); S. Venkatraman (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-19,13:00,Bharathi Ramasubban,Vocals; C.S. Chinmayi (Violin); Aduthurai Guruprasadh (Mridangam); T. Govindaprasad (Morsing),Krishna Gana Sabha,MAC16X21
2025-12-19,16:00,Gayathri Venkataraghavan,Vocals; Mysore V. Srikanth (Violin); R. Sankaranarayanan (Mridangam); S. Krishna (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-19,19:00,Sathyanarayana Raju,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-20,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-20,19:00,Anitha Guha,BHAJE Concept & Choreography,Krishna Gana Sabha,MAC16X21
2025-12-21,19:00,Parshwanath Upadhye & Shruti Gopal & Adithya PV,MAYA (Bharatanatyam),Krishna Gana Sabha,MAC16X21
2025-12-23,09:30,Rangan Brothers Raghuveer & Narayan,Vocal Duet; Dr. Sudha RS Iyer (Violin); Mysore L. Vadiraj (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-23,11:05,Dr. S.V. Sahana,Veena Solo; H.S. Sudhindra (Mridangam); Adambakkam K. Sankar (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-23,12:30,Kalavathy Avadhoot,Vocals; Mysore Srikanth (Violin); Anoor Ananthakrishna Sharma (Mridangam); B.S. Purushotham (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-23,19:00,Urmila Sathyanarayanan,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-24,11:00,V. Deepika & V. Nandhika,Vocal Duet; Mantha Sriramya (Violin); B.N. Kasinadh (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-24,14:00,Kruthi Vittal,Vocals; Trivandrum Sampath (Violin); B. Sivaraman (Mridangam); Trivandrum D. Rajagopal (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-24,19:00,Vidhya Subramaniam,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-25,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-25,10:45,Sudha Raghunathan,Vocals; L. Ramakrishnan (Violin); Patri Satishkumar (Mridangam); S. Sunil Kumar (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-25,16:00,Sid Sriram,Vocals; H.N. Bhaskar (Violin); J. Vaidyanathan (Mridangam); N. Guruprasad (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-25,19:00,Rama Vaidyanathan,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-26,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-26,12:50,Abhishek Ravishankar,Vocals; Thirucherai Karthik (Violin); Sai Nivaelthan Ravichandhra (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-26,13:10,Bhargavi Venkatram,Vocals; Madan Mohan (Violin); Akshay Anand (Mridangam); S. Venkatraman (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-26,16:00,S. Saketaraman,Vocals; H.K. Venkatram (Violin); Tiruvarur Vaidyanathan (Mridangam); N. Guruprasad (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-26,19:00,Uma Sathyanarayanan,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-27,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-27,11:00,RP Shravan,Vocals; Gyandev Pappu (Violin); Sai Raghavan (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-27,13:00,Heramba & Hemantha,Flute Duet; Sai Giridhar (Mridangam); Samyuktha Sreeram (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-27,16:00,Trichur Brothers Srikrishna Mohan & Ramkumar Mohan,Vocal Duet; Idapalli Ajithkumar (Violin); Sumesh S Narayanan (Mridangam); G. Guruprasanna (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-27,19:00,Shobana,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-28,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-28,,Nirupama & Rajendra [Cite: 78],Natya Kala Conference Day 1: Inauguration of 43rd Natya Kala Conference - NAVONMESHA,Krishna Gana Sabha,MAC16X21
2025-12-28,,Rudrakshya Foundation [Cite: 78],Natya Kala Conference: PURUSHAANG (Odissi Beyond Boundaries),Krishna Gana Sabha,MAC16X21
2025-12-28,,Chandraprakash Dwivedi [Cite: 78],Natya Kala Conference: UJJEEVAN (Recreating Classical Themes),Krishna Gana Sabha,MAC16X21
2025-12-28,,Tanusree Shankar & Dancers [Cite: 79],Natya Kala Conference: NAVODAYA (Uday Shankar's Unique Style),Krishna Gana Sabha,MAC16X21
2025-12-28,,Panelists: Divya Nayar; Renjith Vijna; Dr. Himanshu Srivastava [Cite: 80],Natya Kala Conference Panel: ANVESHANA (Creative Freedom in interpreting classics),Krishna Gana Sabha,MAC16X21
2025-12-28,08:00,Prof. Deepak Paramashivan with Anil V Iyer [Cite: 81],Natya Kala Conference Workshop: RANGADHARMI,Sri Ramakrishna Mission Sarada Vidyalaya School,MAC16X21
2025-12-28,10:00,Vishaka Hari & Party,Musical Discourse on Dashavidha Ramayanam (Ramayana in 10 Languages),Krishna Gana Sabha,MAC16X21
2025-12-28,19:00,Malavika Sarukkai,Bharatanatyam,Krishna Gana Sabha,MAC16X21
2025-12-29,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha,MAC16X21
2025-12-29,09:30,S. Srivathsan,Vocals; C.S. Chinmayi (Violin); R. Akshay Ram (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-29,10:35,Archana & Aarathi,Vocal Duet; Alankode VS Gokul (Violin); Akshay Ananthapadmanabhan (Mridangam); Nerkunam Dr. S. Sankar (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-29,11:00,Ranjani & Gayatri,Vocal Duet; Rajeev Mukundan (Violin),Krishna Gana Sabha,MAC16X21
2025-12-29,11:55,Anitha Guha's Bharathanjali,Mahadevam Mahasenam,Krishna Gana Sabha,MAC16X21
2025-12-29,12:35,Swarathmika Srikanth,Vocals; Shraddha Ravindran (Violin); Sarvesh Karthik (Mridangam),Krishna Gana Sabha,MAC16X21
2025-12-29,13:00,Aishwarya Shankar,Vocals; M. Vijay (Violin); B.S. Prashanth (Mridangam); S. Sunil Kumar (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-29,14:15,K. Bharat Sundar,Vocals; Sayee Rakshith (Violin); Delhi Sairam (Mridangam); H. Prasanna (Ghatam),Krishna Gana Sabha,MAC16X21
2025-12-29,16:00,Sriranjani Tapasya Santhanagopalan,Vocals; Rajeev Mukundan (Violin); K. Sai Giridhar (Mridangam); S. Sunil Kumar (Kanjira),Krishna Gana Sabha,MAC16X21
2025-12-29,,Dr. Anuradha Tadakamalla; G. Narendra; Dr. Neena Prasad; Vineeth Radhakrishna [Cite: 114],Natya Kala Conference Day 2: VRITTIS (The Route to Abhinaya),Krishna Gana Sabha,MAC16X21
2025-12-29,,Bickram Ghosh [Cite: 114],Natya Kala Conference: Rhythms and the Universe,Krishna Gana Sabha,MAC16X21
